method,proportion,avg length
Data splitting,0.5,14.358984897804191
Data splitting,0.5,28.211941675375083
Data splitting,0.5,20.61107253522398
Data splitting,0.5,18.992153550648474
Data splitting,0.5,23.184750125617665
Data splitting,0.5,22.369659718080747
Data splitting,0.5,21.35747559241113
Data splitting,0.5,46.28581304513947
Data splitting,0.5,41.29203670486296
Data splitting,0.5,32.46228222165282
Data splitting,0.5,16.676834671042727
Data splitting,0.5,25.290097511503177
Data splitting,0.5,34.07167761811435
Data splitting,0.5,27.29893492016296
Data splitting,0.5,40.31453865899804
Data splitting,0.5,32.92476101582491
Data splitting,0.5,17.823766075301045
Data splitting,0.5,30.15937431512999
Data splitting,0.5,33.88574663868036
Data splitting,0.5,89.42612667090751
Data splitting,0.5,21.81142885714408
Data splitting,0.5,49.34384013580237
Data splitting,0.5,22.68158800083982
Data splitting,0.5,25.617651962863945
Data splitting,0.5,27.441581439502926
Data splitting,0.5,17.41759279298328
Data splitting,0.5,51.54432835825857
Data splitting,0.5,20.186899258684523
Data splitting,0.5,4958.934360903404
Data splitting,0.5,26.741549617831968
Data splitting,0.5,19.661558309834852
Data splitting,0.5,25.670582910406633
Data splitting,0.5,35.728100083263875
Data splitting,0.5,32.00866171273524
Data splitting,0.5,17.51701080675401
Data splitting,0.5,29.75378738028502
Data splitting,0.5,38.505765971108914
Data splitting,0.5,46.876290036497245
Data splitting,0.5,31.028581414148693
Data splitting,0.5,33.689670609170335
Data splitting,0.5,32.610206566837824
Data splitting,0.5,34.15073504047191
Data splitting,0.5,28.626822755499905
Data splitting,0.5,36.17615284818191
Data splitting,0.5,41.249945058214905
Data splitting,0.5,18.466445611344042
Data splitting,0.5,29.38639604949113
Data splitting,0.5,31.844563790663045
Data splitting,0.5,30.47222770480903
Data splitting,0.5,36.22706182535784
Data splitting,0.5,19.453614816976398
Data splitting,0.5,17.38998343605906
Data splitting,0.5,25.92256876677528
Data splitting,0.5,22.713810737902183
Data splitting,0.5,28.575342802023435
Data splitting,0.5,36.016553312466165
Data splitting,0.5,20.562097498906855
Data splitting,0.5,22.039111757050343
Data splitting,0.5,32.647236534709336
Data splitting,0.5,20.576146242308983
Data splitting,0.5,18.712041463150335
Data splitting,0.5,22.836021728360542
Data splitting,0.5,18.924727824047665
Data splitting,0.5,34.65769295377827
Data splitting,0.5,21.806031269607832
Data splitting,0.5,23.402038535968792
Data splitting,0.5,24.08828721548418
Data splitting,0.5,43.633241651509586
Data splitting,0.5,21.115687796893692
Data splitting,0.5,24.679287468036645
Data splitting,0.5,21.982978880824508
Data splitting,0.5,27.722979400249013
Data splitting,0.5,21.521396432640547
Data splitting,0.5,29.26458477631649
Data splitting,0.5,22.22840948054068
Data splitting,0.5,26.333962766488483
Data splitting,0.5,17.44728148232252
Data splitting,0.5,40.6922255544426
Data splitting,0.5,16.95210063758874
Data splitting,0.5,23.847653576895596
Data splitting,0.5,23.813215219032223
Data splitting,0.5,29.551137907458518
Data splitting,0.5,26.15025377151021
Data splitting,0.5,32.09917961733108
Data splitting,0.5,17.330719787350116
Data splitting,0.5,25.05553442625312
Data splitting,0.5,23.071874991397056
Data splitting,0.5,25.80173885162813
Data splitting,0.5,20.743276443784403
Data splitting,0.5,19.01369900311596
Data splitting,0.5,20.803045304786814
Data splitting,0.5,23.011532088607716
Data splitting,0.5,32.462095917929155
Data splitting,0.5,24.37089393182153
Data splitting,0.5,34.21125613279615
Data splitting,0.5,21.57480470420301
Data splitting,0.5,22.24818486447535
Data splitting,0.5,21.771019089808743
Data splitting,0.5,17.21382192297839
Data splitting,0.5,28.947814659683463
Data splitting,0.5,32.79607940646613
Data splitting,0.5,43.06716878433654
Data splitting,0.5,24.363704456124385
Data splitting,0.5,21.21515974846272
Data splitting,0.5,30.260629725183456
Data splitting,0.5,23.4951678006069
Data splitting,0.5,23.911515569832705
Data splitting,0.5,30.88240234648874
Data splitting,0.5,33.494148784080515
Data splitting,0.5,25.15114266771052
Data splitting,0.5,23.146952112600655
Data splitting,0.5,26.917471632259126
Data splitting,0.5,21.00703521845968
Data splitting,0.5,22.259305591820507
Data splitting,0.5,37.69307410162897
Data splitting,0.5,19.63800055900182
Data splitting,0.5,34.36023766284761
Data splitting,0.5,31.139017944973585
Data splitting,0.5,32.66386732235202
Data splitting,0.5,34.010989694010554
Data splitting,0.5,22.58744138816881
Data splitting,0.5,20.02198984822078
Data splitting,0.5,25.87572070304837
Data splitting,0.5,23.33002291748502
Data splitting,0.5,31.86475902683683
Data splitting,0.5,29.776447105343934
Data splitting,0.5,19.65994181366478
Data splitting,0.5,19.682484757063946
Data splitting,0.5,28.95895562659872
Data splitting,0.5,29.51668089161808
Data splitting,0.5,35.10879777108774
Data splitting,0.5,17.59822103638251
Data splitting,0.5,30.10745414791179
Data splitting,0.5,32.24428136176415
Data splitting,0.5,16.624682871985144
Data splitting,0.5,24.277296803549962
Data splitting,0.5,31.014251148381984
Data splitting,0.5,18.32182759355086
Data splitting,0.5,27.936495798229544
Data splitting,0.5,23.57279783927429
Data splitting,0.5,28.669977434921115
Data splitting,0.5,24.276476111506362
Data splitting,0.5,41.053275701599986
Data splitting,0.5,50.92383261165063
Data splitting,0.5,46.763659910528546
Data splitting,0.5,28.40955982386193
Data splitting,0.5,29.19312721524327
Data splitting,0.5,15.634527803833402
Data splitting,0.5,20.125523087074647
Data splitting,0.5,21.629307135444584
Data splitting,0.5,14.708625678561965
Data splitting,0.5,21.221925065523507
Data splitting,0.5,35.27961408629013
Data splitting,0.5,17.666524252095822
Data splitting,0.5,37.61240805997919
Data splitting,0.5,20.1064963824221
Data splitting,0.5,21.57113895922409
Data splitting,0.5,22.682440002807954
Data splitting,0.5,20.499556999836695
Data splitting,0.5,25.979556248090088
Data splitting,0.5,21.67497997715672
Data splitting,0.5,21.9121020572584
Data splitting,0.5,33.37914687337006
Data splitting,0.5,31.488928659594507
Data splitting,0.5,37.12751343463744
Data splitting,0.5,24.225602780607787
Data splitting,0.5,35.5375389485053
Data splitting,0.5,21.344192924171303
Data splitting,0.5,33.950696566184476
Data splitting,0.5,30.925326940853527
Data splitting,0.5,26.307683508943192
Data splitting,0.5,17.928386492406432
Data splitting,0.5,20.16008980657964
Data splitting,0.5,24.220089297556246
Data splitting,0.5,30.83069315338213
Data splitting,0.5,32.47011576422846
Data splitting,0.5,16.983911911360003
Data splitting,0.5,21.775011172929396
Data splitting,0.5,20.26630654045863
Data splitting,0.5,32.60112898905072
Data splitting,0.5,19.60896928648951
Data splitting,0.5,37.418034624587264
Data splitting,0.5,28.89510945202765
Data splitting,0.5,29.778256167698242
Data splitting,0.5,27.047421943377607
Data splitting,0.5,32.853264894142605
Data splitting,0.5,23.611841129552857
Data splitting,0.5,22.55319026751746
Data splitting,0.5,25.869208479280573
Data splitting,0.5,29.42945975079465
Data splitting,0.5,24.51546567115474
Data splitting,0.5,22.334523897578457
Data splitting,0.5,23.19771032794606
Data splitting,0.5,20.296456613989484
Data splitting,0.5,36.06044134210339
Data splitting,0.5,28.31712304721525
Data splitting,0.5,34.388184569735124
Data splitting,0.5,28.449854942508313
Data splitting,0.5,40.545105187762886
Data splitting,0.5,28.508139539774966
Data splitting,0.5,27.13812340804034
Data splitting,0.5,24.600827495325213
Data splitting,0.5,31.690586159106594
Data splitting,0.5,19.50933218325587
Data splitting,0.5,20.485915804916928
Data splitting,0.5,22.26080921359777
Data splitting,0.5,31.539079863755823
Data splitting,0.5,22.896573647950483
Data splitting,0.5,24.383488020440417
Data splitting,0.5,22.81165860346616
Data splitting,0.5,25.409613047890748
Data splitting,0.5,26.623934844980504
Data splitting,0.5,27.124160055951013
Data splitting,0.5,19.63651002807142
Data splitting,0.5,28.632596331089758
Data splitting,0.5,14.679029717126461
Data splitting,0.5,18.65466845906096
Data splitting,0.5,23.771815803306158
Data splitting,0.5,22.014620619923196
Data splitting,0.5,47.60285501132733
Data splitting,0.5,36.82904059460403
Data splitting,0.5,29.88081789691283
Data splitting,0.5,29.90603667999258
Data splitting,0.5,33.7808355424006
Data splitting,0.5,20.6408117321555
Data splitting,0.5,14.490453609555908
Data splitting,0.5,17.875931736199366
Data splitting,0.5,29.661079634844597
Data splitting,0.5,25.1616593008817
Data splitting,0.5,20.653519906735905
Data splitting,0.5,17.140153578730978
Data splitting,0.5,25.98018021450132
Data splitting,0.5,34.07760882719425
Data splitting,0.5,20.67333013438569
Data splitting,0.5,33.29512371699378
Data splitting,0.5,40.08522261833666
Data splitting,0.5,15.840261454580832
Data splitting,0.5,23.700607576948798
Data splitting,0.5,34.52258005851008
Data splitting,0.5,20.44664924394344
Data splitting,0.5,30.67679636338764
Data splitting,0.5,33.82635888266501
Data splitting,0.5,23.745528157993895
Data splitting,0.5,25.618505697733752
Data splitting,0.5,33.988102772183446
Data splitting,0.5,35.460540227585845
Data splitting,0.5,25.577134008373942
Data splitting,0.5,31.567457342084992
Data splitting,0.5,20.598786808866492
Data splitting,0.5,15.79377238102897
Data splitting,0.5,25.156226904015774
Data splitting,0.5,17.03696567256297
Data splitting,0.5,24.31657082955381
Data splitting,0.5,25.491222495400674
Data splitting,0.5,26.41986848946636
Data splitting,0.5,28.590365592784128
Data splitting,0.5,39.33604101252983
Data splitting,0.5,31.655204500713467
Data splitting,0.5,19.576512496321026
Data splitting,0.5,30.83009445182544
Data splitting,0.5,22.39741103203225
Data splitting,0.5,19.090231670337523
Data splitting,0.5,22.013940990384192
Data splitting,0.5,21.30489174446619
Data splitting,0.5,24.439568567426566
Data splitting,0.5,35.63119944526751
Data splitting,0.5,24.36811657507679
Data splitting,0.5,19.211771636059055
Data splitting,0.5,31.989953755393813
Data splitting,0.5,19.027223916335636
Data splitting,0.5,23.947839476699556
Data splitting,0.5,42.97271616805431
Data splitting,0.5,23.560326236932926
Data splitting,0.5,18.456084833638144
Data splitting,0.5,24.465462226570203
Data splitting,0.5,18.8355331065565
Data splitting,0.5,34.85878009224644
Data splitting,0.5,17.02666672869365
Data splitting,0.5,33.7013864340898
Data splitting,0.5,16.157057910486028
Data splitting,0.5,22.491171420532464
Data splitting,0.5,19.93628726979485
Data splitting,0.5,16.43595215871286
Data splitting,0.5,15.977845294556062
Data splitting,0.5,18.25911242706807
Data splitting,0.5,19.939439541292778
Data splitting,0.5,25.43273504941211
Data splitting,0.5,27.819298423819784
Data splitting,0.5,31.66873743468239
Data splitting,0.5,15.124348418923592
Data splitting,0.5,22.232387102764775
Data splitting,0.5,22.24742290605681
Data splitting,0.5,31.598932970594916
Data splitting,0.5,21.29817565778697
Data splitting,0.5,23.965436775919272
Data splitting,0.5,16.622490075788765
Data splitting,0.5,23.50109866618077
Data splitting,0.5,30.31962109128159
Data splitting,0.5,18.578142643327357
Data splitting,0.5,32.23003276906607
Data splitting,0.5,24.49011163229363
Data splitting,0.5,23.846843645465036
Data splitting,0.5,31.25408041241001
Data splitting,0.5,26.533818387601933
Data splitting,0.5,20.478828008889355
Data splitting,0.5,34.16215972094422
Data splitting,0.5,37.07904592463661
Data splitting,0.5,31.61882470244446
Data splitting,0.5,23.77099370989415
Data splitting,0.5,21.204419080852432
Data splitting,0.5,22.619627622204845
Data splitting,0.5,20.6048509511188
Data splitting,0.5,23.239680358288492
Data splitting,0.5,24.514457804918376
Data splitting,0.5,20.387028470345047
Data splitting,0.5,33.543551381739675
Data splitting,0.5,20.622844375968082
Post-GL,0.5,35.24047449558275
Post-GL,0.5,13.63260103713758
Post-GL,0.5,14.723896547315613
Post-GL,0.5,19.851130833164795
Post-GL,0.5,39.70763075116672
Post-GL,0.5,16.318023220042605
Post-GL,0.5,29.423206597775305
Post-GL,0.5,20.322672194593352
Post-GL,0.5,18.186947918294667
Post-GL,0.5,36.08348857395802
Post-GL,0.5,12.773687504584712
Post-GL,0.5,15.403102471862999
Post-GL,0.5,13.67475675257706
Post-GL,0.5,25.314071850815647
Post-GL,0.5,14.581403409056048
Post-GL,0.5,38.82844699899798
Post-GL,0.5,19.984784768837468
Post-GL,0.5,22.512444931471926
Post-GL,0.5,37.95570976248762
Post-GL,0.5,13.649288916578898
Post-GL,0.5,23.35547832534721
Post-GL,0.5,20.47446213547753
Post-GL,0.5,34.574538719221096
Post-GL,0.5,33.85445137175127
Post-GL,0.5,16.9626579666615
Post-GL,0.5,15.85134525642673
Post-GL,0.5,36.315382142450105
Post-GL,0.5,13.719681829235045
Post-GL,0.5,27.425886446588116
Post-GL,0.5,12.824314783821727
