,Hessian Randomized,Data splitting,Naive
Intercept,"(-66.13,-46.057)","(-97.616,-40.212)","(-66.154,-37.95)"
INDFMPIR,"(-15.595,-0.607)","(-6.569,18.837)","(-12.27,0.549)"
BMXBMI,"(2.219,15.97)","(0.521,19.817)","(1.116,11.713)"
DBD895,-,"(-30.688,3.119)",-
DBD910,"(-0.776,15.894)","(0.123,16.901)","(0.742,9.03)"
DMDMARTZ_married_living_with,-,"(-26.851,34.944)","(-24.392,7.653)"
DMDMARTZ_sep,-,"(-9.376,53.031)","(-7.181,25.356)"
RIAGENDR_man,-,"(-27.887,16.189)","(-24.295,0.342)"
BPQ020_hypertension,"(-31.703,12.131)",-,-
Avg. CI Length,21.86294727452077,40.12105030580787,21.303699374830526
