,Lower,Upper,MLE,P value
Intercept,-63.62481016192106,123.18872726736123,29.781958552720084,0.5999672054754339
RIDAGEYR,-5.0102695174002925,19.811981381031952,7.40085593181583,0.3266717909955068
INDFMPIR,-38.34686191095754,-21.485164435652607,-29.916013173305075,5.32778901201629e-09
BMXBMI,-8.460696659334207,4.505354685808964,-1.9776709867626217,0.6158302401461617
DBD895,-22.89039031919396,3.4070358529040696,-9.741677233144944,0.2229783934388606
DBD905,-1.68488293818619,19.53212694477204,8.923622003292925,0.1664773705289344
DBD910,15.505242152321243,25.775803774063192,20.64052296319222,3.810818327565357e-11
RIDRETH1_Mexican_American,-176.80463522093805,-23.066364140537104,-99.93549968073758,0.032481856000290604
RIDRETH1_Other_Hispanic,-91.69177667526489,74.96334236730308,-8.364217153980901,0.8688602399363362
RIDRETH1_Non_Hispanic_White,-101.2016613196543,25.40019201596482,-37.90073465184474,0.3247036296866673
RIDRETH1_Non_Hispanic_Black,-118.58200580100939,9.161423470091258,-54.71029116545907,0.15885750692164413
DMDMARTZ_married_living_with,-85.66094767427398,3.853779221867761,-40.90358422620311,0.13278091072380357
DMDMARTZ_sep,-22.77267940096811,94.3192562926462,35.77328844583904,0.3148711438071139
DBQ700_1,-233.84116026755498,-37.77523974318673,-135.80820000537085,0.022686783557477067
DBQ700_2,-234.79830407232055,-74.49360107898987,-154.6459525756552,0.001505710358884657
DBQ700_3,-220.2101487550737,-76.54273644886602,-148.37644260196987,0.0006799589304591363
DBQ700_4,-206.49395304900992,-53.891468035914784,-130.19271054246235,0.0050065567266611944
RIAGENDR_man,-11.758833344327666,15.493376823511444,1.8672717395918887,0.8216644234083408
ALQ151_dummy,-29.397672747393585,1.6169656125518035,-13.890353567420892,0.14065860138993458
BPQ020_hypertension,-8.02299405595762,21.73425699844833,6.855631471245356,0.4485108501506443
SMQ020_smoke,-26.26969003368454,2.6787426808710197,-11.79547367640676,0.18010213472228198
MCQ010_asthma,63.9556234844286,93.93452095606312,78.94507222024586,0.0
