sparsity size,coverage rate,avg length,method,F1 score
5,0.75,22.925993200635176,MLE,0.33333333333333337
5,0.75,26.745195624325945,Data splitting,0.28571428571428575
5,1.0,14.1313591263242,Naive,0.33333333333333337
5,1.0,28.818687761889073,MLE,0.0
5,1.0,24.274304049812127,Data splitting,0.33333333333333337
5,1.0,15.320123936972907,Naive,0.33333333333333337
5,0.9375,30.315699498023054,MLE,0.4444444444444445
5,0.875,36.24820459272205,Data splitting,0.4444444444444445
5,0.75,18.014245403433833,Naive,0.4444444444444445
5,0.9,31.434121344516246,MLE,0.4000000000000001
5,0.8333333333333334,30.23054493995777,Data splitting,0.25
5,1.0,14.814146489788488,Naive,0.33333333333333337
5,0.9,32.706045798161405,MLE,0.26666666666666666
5,1.0,35.06091376512368,Data splitting,0.0
5,0.8333333333333334,18.35002435325686,Naive,0.0
5,0.75,30.463540758793982,MLE,0.25
5,0.9166666666666666,28.098460246858863,Data splitting,0.0
5,0.5,14.265703825321431,Naive,0.0
5,0.75,28.157796793388176,MLE,0.0
5,0.9285714285714286,36.00345821753526,Data splitting,0.3333333333333333
5,0.75,15.659118621530608,Naive,0.5714285714285715
5,1.0,34.35096582626521,MLE,0.3076923076923077
5,1.0,34.81417116654424,Data splitting,0.3333333333333333
5,0.95,20.553711563082075,Naive,0.20000000000000004
5,0.8928571428571429,32.6601512485202,MLE,0.3333333333333333
5,1.0,38.48958923775781,Data splitting,0.4000000000000001
5,0.75,15.352274482096483,Naive,0.0
5,0.95,30.80059325567987,MLE,0.20000000000000004
5,1.0,32.6973052276265,Data splitting,0.22222222222222224
5,0.5,14.273095623712122,Naive,0.0
8,0.8125,26.523758145592275,MLE,0.3333333333333333
8,1.0,32.57066567089821,Data splitting,0.3076923076923077
8,0.5,16.140744852434096,Naive,0.2222222222222222
8,0.6875,32.08285887498641,MLE,0.5
8,0.8125,33.122489987677206,Data splitting,0.3333333333333333
8,0.875,17.832453751381163,Naive,0.4
8,0.8125,30.630733252935745,MLE,0.5
8,0.85,33.20723372333968,Data splitting,0.4615384615384615
8,0.9166666666666666,17.613484191390505,Naive,0.5454545454545454
8,0.8611111111111112,33.296556835238185,MLE,0.7058823529411765
8,0.75,36.42932310289056,Data splitting,0.5714285714285715
8,0.85,19.99089641094535,Naive,0.3076923076923077
8,0.9375,32.277882205796054,MLE,0.3333333333333333
8,0.9285714285714286,39.449445420791164,Data splitting,0.39999999999999997
8,0.6666666666666666,18.393500794948736,Naive,0.36363636363636365
8,1.0,30.63318661299337,MLE,0.36363636363636365
8,0.85,31.640055621852714,Data splitting,0.3076923076923077
8,0.875,16.250206563132842,Naive,0.2
8,0.9166666666666666,29.041900317409432,MLE,0.42857142857142855
8,0.9375,28.78158932886314,Data splitting,0.5
8,0.875,15.11699305047561,Naive,0.4
8,0.84375,30.30336969021805,MLE,0.375
8,0.9,31.654808487689017,Data splitting,0.3076923076923077
8,0.75,18.246928760823472,Naive,0.4615384615384615
8,0.875,33.321584145198884,MLE,0.5
8,1.0,34.87937655936448,Data splitting,0.0
8,0.875,18.597641567452946,Naive,0.4
8,0.8333333333333334,26.609822948253655,MLE,0.36363636363636365
8,0.8214285714285714,38.9017981437628,Data splitting,0.26666666666666666
8,0.5833333333333334,16.79150949560452,Naive,0.36363636363636365
10,0.875,29.440394893629204,MLE,0.28571428571428575
10,0.6875,29.973876653269137,Data splitting,0.0
10,0.75,13.533553792917111,Naive,0.18181818181818182
10,0.9375,31.660379023326055,MLE,0.4285714285714285
10,0.9166666666666666,33.06420343836938,Data splitting,0.30769230769230765
10,0.75,17.179280163835465,Naive,0.33333333333333337
10,0.95,32.83667527950592,MLE,0.5333333333333333
10,0.875,34.87705810535719,Data splitting,0.33333333333333337
10,0.75,15.342721258522898,Naive,0.18181818181818182
10,0.7916666666666666,31.10658344402077,MLE,0.5
10,0.8333333333333334,31.18080757532221,Data splitting,0.30769230769230765
10,0.625,17.131459482734222,Naive,0.33333333333333337
10,0.625,28.556607767058253,MLE,0.16666666666666669
10,1.0,35.245178907229764,Data splitting,0.28571428571428575
10,0.75,14.997964789721898,Naive,0.18181818181818182
10,0.9166666666666666,33.71159042035623,MLE,0.4210526315789474
10,0.8,35.50375326570002,Data splitting,0.4
10,0.875,18.319866735022693,Naive,0.16666666666666669
10,0.9375,29.53237274821109,MLE,0.33333333333333326
10,0.9,33.90425490365497,Data splitting,0.26666666666666666
10,0.5833333333333334,15.146766025102492,Naive,0.15384615384615383
10,0.9166666666666666,31.654665963897646,MLE,0.25
10,0.9166666666666666,36.42336762038152,Data splitting,0.0
10,0.8333333333333334,16.74060662919293,Naive,0.30769230769230765
10,0.9166666666666666,33.133650889654454,MLE,0.4615384615384615
10,0.9,40.075903218891696,Data splitting,0.6666666666666666
10,1.0,19.63807821142968,Naive,0.18181818181818182
10,0.95,30.787395649192735,MLE,0.26666666666666666
10,0.8333333333333334,33.776400892205864,Data splitting,0.4615384615384615
10,0.875,16.761448346412827,Naive,0.16666666666666669
