sparsity size,coverage rate,avg length,method,F1 score
5,0.95,12.314120418818701,MLE,0.4
5,0.7727272727272727,19.552300060034828,Data splitting,0.25000000000000006
5,0.65,7.973277508395003,Naive,0.4000000000000001
5,0.9583333333333334,12.327719695714427,MLE,0.0
5,0.90625,16.24223831466149,Data splitting,0.0
5,0.75,6.721892846161564,Naive,0.0
5,0.8333333333333334,12.075932105673507,MLE,0.25
5,0.8125,13.882185305180187,Data splitting,0.22222222222222224
5,0.75,5.983948358185225,Naive,0.0
5,1.0,13.767211499705535,MLE,0.16666666666666666
5,0.9642857142857143,14.571051454963174,Data splitting,0.3333333333333333
5,0.5,6.598920914075013,Naive,0.28571428571428575
5,0.90625,12.744681267790945,MLE,0.15384615384615385
5,0.875,16.445912838965043,Data splitting,0.0
5,0.75,7.050419150502676,Naive,0.0
5,0.875,11.93436817497166,MLE,0.0
5,0.9,14.787428111847877,Data splitting,0.20000000000000004
5,0.625,6.68403517438773,Naive,0.0
5,0.875,12.074407611726155,MLE,0.22222222222222224
5,1.0,13.26917204791088,Data splitting,0.0
5,0.75,7.382350859199177,Naive,0.28571428571428575
5,0.85,12.442357101499491,MLE,0.4000000000000001
5,0.85,13.841991764007378,Data splitting,0.6
5,1.0,5.959906284112909,Naive,0.33333333333333337
5,0.9807692307692307,12.811472679371398,MLE,0.2222222222222222
5,0.7777777777777778,16.7840245980313,Data splitting,0.0
5,0.5833333333333334,7.315177270268671,Naive,0.25
5,0.9166666666666666,12.676167154186382,MLE,0.0
5,0.85,14.06462719853234,Data splitting,0.20000000000000004
5,0.75,6.659863670675682,Naive,0.0
8,0.9642857142857143,12.311535986450536,MLE,0.26666666666666666
8,0.9642857142857143,14.439278553565874,Data splitting,0.39999999999999997
8,0.875,6.620285096358067,Naive,0.2
8,0.925,12.7753189477474,MLE,0.22222222222222224
8,0.9375,15.646541649694495,Data splitting,0.0
8,0.25,5.977652993960933,Naive,0.0
8,0.875,12.576745650901593,MLE,0.14285714285714288
8,0.8928571428571429,14.91443718035117,Data splitting,0.26666666666666666
8,0.5,5.973708919510709,Naive,0.0
8,0.925,13.057749742943326,MLE,0.22222222222222224
8,0.8541666666666666,19.823911157310878,Data splitting,0.1
8,0.75,6.747371634840688,Naive,0.0
8,0.9444444444444444,11.986486826895364,MLE,0.23529411764705882
8,0.9375,13.190961335252396,Data splitting,0.0
8,0.625,6.727004932426524,Naive,0.2
8,0.96875,12.573161975315202,MLE,0.125
8,0.9285714285714286,15.287970425914878,Data splitting,0.26666666666666666
8,0.75,6.684250026447723,Naive,0.2
8,0.90625,12.373524005463041,MLE,0.125
8,0.8125,14.357329940749981,Data splitting,0.16666666666666666
8,0.75,7.635761528193685,Naive,0.3333333333333333
8,1.0,12.197781754205408,MLE,0.28571428571428575
8,0.8571428571428571,15.44127229138907,Data splitting,0.26666666666666666
8,0.8125,7.54916538985232,Naive,0.16666666666666666
8,1.0,12.407469515090247,MLE,0.42857142857142855
8,0.85,18.033259136534447,Data splitting,0.11111111111111112
8,0.875,6.707617038338622,Naive,0.2
8,0.8888888888888888,12.936154833786055,MLE,0.23529411764705882
8,0.8,14.933288145489033,Data splitting,0.15384615384615385
8,0.5,7.3494081918395295,Naive,0.18181818181818182
10,0.8214285714285714,12.520916327481782,MLE,0.3529411764705882
10,0.7708333333333334,21.10263392178999,Data splitting,0.3636363636363636
10,0.75,7.922806766099472,Naive,0.125
10,1.0,12.017015611287912,MLE,0.0
10,0.9,14.185128485029036,Data splitting,0.26666666666666666
10,0.625,6.7631808177019845,Naive,0.16666666666666669
10,0.9166666666666666,11.245965133779329,MLE,0.0
10,0.7916666666666666,15.024382706016098,Data splitting,0.125
10,0.75,7.36864188724189,Naive,0.0
10,0.96875,12.406183842936786,MLE,0.11111111111111112
10,0.85,14.097955707874286,Data splitting,0.13333333333333333
10,0.75,6.571866878786736,Naive,0.0
10,0.95,12.881562332991711,MLE,0.20000000000000004
10,0.95,14.03757790141484,Data splitting,0.0
10,0.6666666666666666,7.043110461663768,Naive,0.0
10,1.0,12.16519861103611,MLE,0.28571428571428575
10,0.90625,15.673574933418422,Data splitting,0.33333333333333326
10,0.6666666666666666,7.5336760283721205,Naive,0.15384615384615383
10,0.78125,13.634152815228124,MLE,0.33333333333333326
10,1.0,15.013405432550462,Data splitting,0.25
10,0.5,5.947326616569661,Naive,0.0
10,0.9166666666666666,12.643284577569395,MLE,0.37499999999999994
10,0.90625,15.859179653015923,Data splitting,0.4444444444444445
10,0.7,8.393609315249433,Naive,0.4
10,0.9642857142857143,12.825160250712127,MLE,0.3529411764705882
10,0.6944444444444444,17.566565259542685,Data splitting,0.4210526315789474
10,0.75,7.377040387234755,Naive,0.0
10,0.85,12.771160208759017,MLE,0.26666666666666666
10,0.8125,14.868983977365406,Data splitting,0.14285714285714288
10,0.5,7.431995320606305,Naive,0.15384615384615383
