sparsity size,coverage rate,avg length,method,F1 score
5,0.9642857142857143,6.292536284885058,MLE,0.16666666666666666
5,0.90625,6.910366531438843,Data splitting,0.3076923076923077
5,0.8333333333333334,3.422098563959027,Naive,0.5
5,0.9423076923076923,6.503405663625253,MLE,0.33333333333333337
5,0.9285714285714286,7.853177226913983,Data splitting,0.10526315789473682
5,0.55,3.6169695471206778,Naive,0.20000000000000004
5,0.9285714285714286,6.159390413936764,MLE,0.3333333333333333
5,0.78125,7.008864084282871,Data splitting,0.4615384615384615
5,0.8125,3.4393863993386393,Naive,0.6666666666666665
5,0.9444444444444444,6.770087209802552,MLE,0.0
5,0.9375,7.453882076256928,Data splitting,0.3076923076923077
5,0.85,4.050111244470914,Naive,0.20000000000000004
5,0.875,6.2990987047109455,MLE,0.1818181818181818
5,0.95,7.235280661839882,Data splitting,0.5333333333333333
5,0.75,3.435946138990225,Naive,0.28571428571428575
5,0.9583333333333334,6.222417111413595,MLE,0.5454545454545454
5,0.8214285714285714,7.471721548355373,Data splitting,0.16666666666666666
5,0.75,3.5257756216904523,Naive,0.28571428571428575
5,0.8214285714285714,6.431869041398116,MLE,0.3333333333333333
5,0.9,6.082959481508528,Data splitting,0.20000000000000004
5,0.75,3.137604860232478,Naive,0.28571428571428575
5,1.0,7.130363259916485,MLE,0.2857142857142857
5,0.7678571428571429,10.2962030019642,Data splitting,0.21052631578947364
5,0.7916666666666666,4.337725810352558,Naive,0.1818181818181818
5,0.8333333333333334,6.438375332496813,MLE,0.14285714285714285
5,0.8928571428571429,6.686951526545025,Data splitting,0.16666666666666666
5,0.75,3.583130610512195,Naive,0.22222222222222224
5,0.84375,6.394270545064993,MLE,0.4615384615384615
5,0.9,7.550713963400659,Data splitting,0.4
5,0.625,3.2499603112824698,Naive,0.28571428571428575
8,0.7,6.346481205637007,MLE,0.3076923076923077
8,0.8928571428571429,6.948321598728723,Data splitting,0.26666666666666666
8,0.875,3.4878314726268798,Naive,0.2
8,0.8333333333333334,6.5912845105747575,MLE,0.23529411764705882
8,0.90625,7.696039540139237,Data splitting,0.25
8,0.75,3.4024843943170744,Naive,0.2
8,0.9166666666666666,6.594582751476997,MLE,0.47058823529411764
8,0.8571428571428571,7.453782342295367,Data splitting,0.6666666666666666
8,1.0,3.6600783378505177,Naive,0.6666666666666666
8,0.9166666666666666,6.306967193772729,MLE,0.14285714285714288
8,0.95,8.101778145270009,Data splitting,0.33333333333333326
8,0.8333333333333334,4.023388465959433,Naive,0.18181818181818182
8,0.9,6.469677309518548,MLE,0.4444444444444445
8,0.9375,7.297076039215525,Data splitting,0.375
8,0.875,3.6024756790664103,Naive,0.3333333333333333
8,0.7777777777777778,6.979643362229313,MLE,0.35294117647058826
8,0.95,8.705080692961689,Data splitting,0.26086956521739135
8,0.5833333333333334,3.811875058447974,Naive,0.5454545454545454
8,0.7083333333333334,6.267265637443479,MLE,0.28571428571428575
8,0.9285714285714286,7.842270586702091,Data splitting,0.13333333333333333
8,0.75,3.4822637865909583,Naive,0.0
8,0.9285714285714286,6.251707006368322,MLE,0.39999999999999997
8,0.9375,6.377643499206637,Data splitting,0.3333333333333333
8,0.8333333333333334,3.4318588390660043,Naive,0.36363636363636365
8,0.9090909090909091,6.643874131828432,MLE,0.3157894736842105
8,0.9166666666666666,8.471434936086176,Data splitting,0.5
8,0.7857142857142857,3.924798241176883,Naive,0.5333333333333333
8,0.9722222222222222,6.19766790381436,MLE,0.11764705882352941
8,0.90625,7.053340315757033,Data splitting,0.25
8,0.8333333333333334,3.5849782308759237,Naive,0.0
10,0.8,6.336471050452514,MLE,0.20000000000000004
10,0.6875,7.804536291277465,Data splitting,0.22222222222222224
10,0.625,3.2642585006391243,Naive,0.16666666666666669
10,0.8636363636363636,6.9520407806971285,MLE,0.47619047619047616
10,0.9464285714285714,9.073038259790767,Data splitting,0.5
10,0.75,3.792279464467859,Naive,0.5
10,0.8166666666666667,6.867725993887002,MLE,0.48
10,0.8888888888888888,7.84285702634211,Data splitting,0.4210526315789474
10,0.7083333333333334,3.895819199592109,Naive,0.625
10,0.9642857142857143,6.354016442205704,MLE,0.47058823529411764
10,0.8,7.929075619792096,Data splitting,0.5
10,0.75,3.7352087284650595,Naive,0.37499999999999994
10,0.7083333333333334,6.612012747790246,MLE,0.37499999999999994
10,0.9375,7.42053439343429,Data splitting,0.3636363636363636
10,0.7857142857142857,3.6095893904844076,Naive,0.47058823529411764
10,0.775,6.69049611278038,MLE,0.20000000000000004
10,0.8863636363636364,8.174551372592104,Data splitting,0.28571428571428564
10,0.8,3.601917205659329,Naive,0.26666666666666666
10,0.8928571428571429,6.333161299639431,MLE,0.23529411764705882
10,0.9285714285714286,6.4938729118964815,Data splitting,0.3529411764705882
10,0.78125,3.86018884055126,Naive,0.4444444444444445
10,0.96875,6.187807367761807,MLE,0.33333333333333326
10,0.8214285714285714,6.902526630009334,Data splitting,0.3529411764705882
10,0.8125,3.6774485479726646,Naive,0.14285714285714288
10,0.8409090909090909,6.739999672381956,MLE,0.47619047619047616
10,0.7727272727272727,7.8607992929947,Data splitting,0.380952380952381
10,0.78125,3.915309462006647,Naive,0.5555555555555556
10,0.75,6.525391934377699,MLE,0.4210526315789474
10,0.9,7.338836067392229,Data splitting,0.5
10,0.65,3.611547043255931,Naive,0.4
