proportion,n,coverage rate,avg length,method,F1 score
0.7,100,0.75,10.127466886775748,MLE,0.6666666666666666
0.7,100,1.0,2122.1547097799453,Data splitting,0.6666666666666666
0.7,100,0.75,6.179110235704741,Naive,0.6666666666666666
0.7,100,0.625,12.54864391923445,MLE,0.0
0.7,100,1.0,3090.7898308129024,Data splitting,0.5
0.7,100,0.75,6.219680670928756,Naive,0.0
0.7,100,0.875,12.449738051431384,MLE,0.5
0.7,100,1.0,15442.480140671025,Data splitting,0.4
0.7,100,0.75,8.660632639929739,Naive,0.5
0.7,100,1.0,10.598211842782746,MLE,0.6666666666666666
0.7,100,1.0,14.812232280402778,Data splitting,0.5
0.7,100,0.75,6.322618816316083,Naive,0.0
0.7,100,0.75,10.48541064799705,MLE,0.6666666666666666
0.7,100,0.625,18.67174373848603,Data splitting,1.0
0.7,100,1.0,6.058670149726737,Naive,0.6666666666666666
0.7,100,1.0,10.120538868597968,MLE,0.5454545454545454
0.7,100,1.0,15.352158604911248,Data splitting,0.0
0.7,100,1.0,7.877181424045883,Naive,0.5
0.7,100,1.0,12.443000343115068,MLE,0.5
0.7,100,1.0,9450.613778126839,Data splitting,0.4
0.7,100,0.75,6.415541656563015,Naive,0.0
0.7,100,0.8125,13.922298767963298,MLE,0.6666666666666666
0.7,100,1.0,12488.055399121049,Data splitting,0.4
0.7,100,0.625,8.109249593909535,Naive,0.5
0.7,100,0.75,12.464139070238513,MLE,0.5
0.7,100,1.0,11.325471624025244,Data splitting,0.6666666666666666
0.7,100,1.0,7.520972678381662,Naive,0.5
0.7,100,1.0,12.743540610034357,MLE,1.0
0.7,100,0.9166666666666666,840.7533970921774,Data splitting,0.8
0.7,100,1.0,6.157672991467858,Naive,0.6666666666666666
0.7,100,1.0,12.052833103748702,MLE,0.8
0.7,100,0.875,1068.4644047258014,Data splitting,0.5
0.7,100,0.75,7.695214308885709,Naive,0.5
0.7,100,1.0,10.435138226355603,MLE,0.0
0.7,100,0.75,18.337723083161194,Data splitting,0.0
0.7,100,0.875,8.0744035830579,Naive,0.0
0.7,100,1.0,10.42243456842628,MLE,0.0
0.7,100,1.0,10236.207278576067,Data splitting,0.5
0.7,100,0.75,6.142015297301549,Naive,0.0
0.7,100,1.0,12.922256240481705,MLE,0.0
0.7,100,1.0,17.98002709826919,Data splitting,0.0
0.7,100,1.0,7.592129012585138,Naive,0.0
0.7,100,1.0,12.639029942675554,MLE,0.0
0.7,100,1.0,3841.826552143342,Data splitting,0.4
0.7,100,0.8333333333333334,8.898866782880791,Naive,0.0
0.7,100,1.0,12.144818639989435,MLE,0.5
0.7,100,1.0,8014.220386854401,Data splitting,0.4
0.7,100,0.75,7.667098107487082,Naive,0.5
0.7,100,0.875,14.021889953813897,MLE,0.3333333333333333
0.7,100,1.0,2216.3415436114906,Data splitting,0.0
0.7,100,0.75,6.117947427199952,Naive,0.0
0.7,100,1.0,12.545070777934772,MLE,1.0
0.7,100,1.0,744.8157642168195,Data splitting,0.4
0.7,100,0.875,8.076235422213642,Naive,0.5
0.7,100,0.75,12.42769619461041,MLE,0.5
0.7,100,1.0,988.0789993126758,Data splitting,0.5
0.7,100,1.0,7.593833627303406,Naive,0.0
0.7,100,0.875,12.075266523123393,MLE,0.5
0.7,100,1.0,12.933963127769388,Data splitting,0.6666666666666666
0.7,100,0.5,6.300879077969863,Naive,0.6666666666666666
0.7,100,1.0,13.4932050772034,MLE,0.4
0.7,100,1.0,8954.791987392846,Data splitting,0.0
0.7,100,0.875,7.894394706675609,Naive,0.0
0.7,100,0.9166666666666666,13.574112572682544,MLE,0.8
0.7,100,1.0,3131.5969803666458,Data splitting,0.5
0.7,100,0.5,6.34653537058545,Naive,0.0
0.7,100,0.875,12.196982207614287,MLE,0.5
0.7,100,1.0,4929.603954411366,Data splitting,0.0
0.7,100,0.625,9.40149216096091,Naive,0.6666666666666666
0.7,100,0.9166666666666666,12.56724862743909,MLE,0.8
0.7,100,1.0,722.1151471163997,Data splitting,0.8
0.7,100,0.75,6.326196110390189,Naive,0.6666666666666666
0.7,100,0.5,9.941627130340674,MLE,0.0
0.7,100,1.0,900.7609029375692,Data splitting,0.5
0.7,100,0.75,7.413235152568774,Naive,0.5
0.7,100,1.0,12.85752995249508,MLE,0.5
0.7,100,1.0,12.783391885412005,Data splitting,0.6666666666666666
0.7,100,1.0,6.056773648727982,Naive,0.6666666666666666
0.7,100,0.875,12.069754731645057,MLE,0.0
0.7,100,1.0,12.332716236088423,Data splitting,0.0
0.7,100,0.75,6.1779095760346605,Naive,0.0
0.7,100,0.8333333333333334,12.938104182795954,MLE,0.8
0.7,100,0.875,16.78720310819474,Data splitting,1.0
0.7,100,0.625,7.78210740494155,Naive,0.5
0.7,100,1.0,12.134064532296936,MLE,0.5
0.7,100,1.0,10408.730975972974,Data splitting,0.6666666666666666
0.7,100,0.75,6.123307811306874,Naive,0.6666666666666666
0.7,100,0.875,14.109477817428951,MLE,0.3333333333333333
0.7,100,1.0,12.866078048578046,Data splitting,0.0
0.7,100,0.5,6.436464515508674,Naive,0.0
0.7,100,1.0,10.51370286290637,MLE,0.0
0.7,100,1.0,3335.722210342844,Data splitting,0.6666666666666666
0.7,100,0.75,6.234221121723488,Naive,0.6666666666666666
0.7,100,0.5,12.954299316834424,MLE,0.0
0.7,100,0.875,18.76318845679615,Data splitting,0.0
0.7,100,0.75,6.20930160733856,Naive,0.0
0.7,100,1.0,10.477298675646514,MLE,0.0
0.7,100,1.0,2013.8425450415668,Data splitting,0.0
0.7,100,1.0,5.986499822084317,Naive,0.0
0.7,100,1.0,13.418095205174161,MLE,0.5
0.7,100,1.0,12.40821252867976,Data splitting,0.0
0.7,100,0.75,6.160217920699179,Naive,0.0
0.7,100,0.8333333333333334,12.597138315234147,MLE,0.4
0.7,100,1.0,15.225708588822858,Data splitting,1.0
0.7,100,0.75,6.290638002649548,Naive,0.6666666666666666
0.7,100,0.875,12.59937858929822,MLE,0.5
0.7,100,1.0,16.78372776062745,Data splitting,0.5
0.7,100,0.75,6.198907366454775,Naive,0.0
0.7,100,1.0,12.64715494838175,MLE,0.5
0.7,100,1.0,3481.165548740743,Data splitting,0.0
0.7,100,0.875,7.833029132721865,Naive,0.5
0.7,100,1.0,13.349527749021332,MLE,0.4
0.7,100,0.875,1294.1630603820913,Data splitting,0.0
0.7,100,0.75,6.242512844236858,Naive,0.0
0.7,100,1.0,12.649276502751722,MLE,0.0
0.7,100,0.875,20.053878165665807,Data splitting,0.0
0.7,100,0.75,8.253200418751758,Naive,0.0
0.7,100,1.0,13.78353021365195,MLE,0.0
0.7,100,1.0,968.5490074740376,Data splitting,0.0
0.7,100,1.0,6.005263777723578,Naive,0.0
0.7,100,0.875,12.70995990745833,MLE,0.0
0.7,100,1.0,13.713822131473322,Data splitting,0.0
0.7,100,0.75,6.165322401676434,Naive,0.0
0.7,100,1.0,12.55163027651705,MLE,0.8
0.7,100,0.875,34.8131732580042,Data splitting,0.6666666666666666
0.7,100,0.8125,9.413700475828115,Naive,0.6666666666666666
0.7,100,0.625,12.132536550962525,MLE,0.5
0.7,100,1.0,10.869541539433307,Data splitting,0.6666666666666666
0.7,100,0.875,7.754207184147754,Naive,0.5
0.7,100,1.0,12.300348560375216,MLE,0.5
0.7,100,1.0,613384285.4318318,Data splitting,0.6666666666666666
0.7,100,0.75,6.217045180518573,Naive,0.0
0.7,100,1.0,10.509196068103751,MLE,0.6666666666666666
0.7,100,1.0,12.615720276294919,Data splitting,0.0
0.7,100,0.75,6.187356908370131,Naive,0.0
0.7,100,0.8333333333333334,12.922316098806812,MLE,0.8
0.7,100,1.0,19.69359506372922,Data splitting,0.8
0.7,100,0.75,7.759261618828548,Naive,1.0
0.7,100,0.75,12.615878248034688,MLE,0.4
0.7,100,0.75,1266.9385595370452,Data splitting,0.0
0.7,100,0.75,6.4013190062919545,Naive,0.0
0.7,100,0.75,10.648248980452019,MLE,0.0
0.7,100,0.875,16.9476237236296,Data splitting,0.0
0.7,100,0.75,6.094108778176366,Naive,0.0
0.7,100,1.0,10.411614751915211,MLE,0.0
0.7,100,0.5,1203.322555058944,Data splitting,0.0
0.7,100,0.75,6.186379430665728,Naive,0.0
0.7,100,0.9375,14.61091298334691,MLE,0.3333333333333333
0.7,100,0.75,12.980109002172242,Data splitting,0.0
0.7,100,0.75,7.843962783748323,Naive,0.0
0.7,100,0.875,12.593325923706711,MLE,0.5
0.7,100,1.0,1033.3018922204951,Data splitting,0.5
0.7,100,0.875,7.6203891551901455,Naive,0.5
0.7,100,1.0,12.64300092475587,MLE,0.5
0.7,100,1.0,26522.260191685065,Data splitting,0.4
0.7,100,0.6666666666666666,6.124608090419607,Naive,0.5454545454545454
0.7,100,0.625,13.042790459354615,MLE,0.0
0.7,100,1.0,2810.489948880193,Data splitting,0.0
0.7,100,1.0,6.093396442436889,Naive,0.0
0.7,100,1.0,10.332003293419078,MLE,0.6666666666666666
0.7,100,1.0,1595237.2091799164,Data splitting,0.4
0.7,100,0.6666666666666666,6.260395422673401,Naive,0.5454545454545454
0.7,100,0.75,12.933473878267897,MLE,0.4
0.7,100,1.0,2722.714435278822,Data splitting,0.4
0.7,100,0.75,6.440230147280106,Naive,0.6666666666666666
0.7,100,0.75,10.352000781351617,MLE,0.6666666666666666
0.7,100,1.0,12.719867701376987,Data splitting,0.6666666666666666
0.7,100,0.75,6.1569381264263825,Naive,0.6666666666666666
0.7,100,0.75,11.9078291849232,MLE,0.5
0.7,100,1.0,17.711239579504003,Data splitting,0.5
0.7,100,0.75,8.82335482136863,Naive,0.5
0.7,100,0.9166666666666666,13.559679314520134,MLE,0.4
0.7,100,0.75,18.865524058980103,Data splitting,0.0
0.7,100,0.875,7.819393932264884,Naive,0.0
0.7,100,1.0,10.197119265931239,MLE,0.6666666666666666
0.7,100,0.9166666666666666,22.241741247889262,Data splitting,0.8
0.7,100,0.875,7.665705501397544,Naive,0.5
0.7,100,1.0,12.98568575652623,MLE,0.4
0.7,100,1.0,603.2986410862301,Data splitting,0.8
0.7,100,0.875,7.798967661134536,Naive,0.0
0.7,100,0.75,9.745644755154029,MLE,0.0
0.7,100,1.0,12.293148218041242,Data splitting,0.0
0.7,100,0.25,6.3518629932072015,Naive,0.0
0.7,100,0.75,10.378698865865776,MLE,0.6666666666666666
0.7,100,1.0,14.626394773161795,Data splitting,0.0
0.7,100,1.0,6.085285388086184,Naive,0.6666666666666666
0.7,100,0.8333333333333334,13.205925305878695,MLE,0.8
0.7,100,0.9166666666666666,3888.6141686618757,Data splitting,0.4
0.7,100,0.8333333333333334,8.867184524208943,Naive,0.8
0.7,100,0.875,11.952025710729373,MLE,0.0
0.7,100,1.0,20.680752756147445,Data splitting,0.3333333333333333
0.7,100,0.8333333333333334,8.675106035673517,Naive,0.4
0.7,100,1.0,10.605046064899907,MLE,0.0
0.7,100,0.875,903.7608210864068,Data splitting,0.0
0.7,100,1.0,6.24776386039292,Naive,0.0
0.7,100,0.875,12.548620450480229,MLE,0.5
0.7,100,1.0,13.724807442145636,Data splitting,0.5
0.7,100,1.0,7.381523027069614,Naive,0.5
